Artist Name;Track Name;Popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_in min/ms;time_signature;Class
Bruno Mars;That's What I Like (feat. Gucci Mane);600;854;564;10;-4964;1;485;171;;849;899;134071;2345960;4;5
Boston;Hitch a Ride;540;382;814;30;-723;1;406;11;401;101;569;116454;2517330;4;10
The Raincoats;No Side to Fall In;350;434;614;60;-8334;1;525;486;196;394;787;147681;1096670;4;6
Deno;Lingo (feat. J.I & Chunkz);660;853;597;100;-6528;0;555;212;;122;569;107033;1739680;4;5
Red Hot Chili Peppers;Nobody Weird Like Me - Remastered;530;167;975;20;-4279;1;216;169;161;172;918;19906;2299600;4;10
The Stooges;Search and Destroy - Iggy Pop Mix;530;235;977;60;878;1;107;353;604;172;241;152952;2081330;4;6
Solomon Burke;None Of Us Are Free;480;674;658;50;-9647;0;104;404;0,000134;981;677;143292;3293870;4;2
Randy Travis;On the Other Hand;550;657;415;50;-9915;1;25;175;0,000565;132;347;9603;3105783333;4;4
Professional Murder Music;Slow;290;431;776;100;-5403;1;527;0,00221;13;179;318;120857;2378670;4;8
Dudu Aharon;?ì?ï?ì?ï, ?ô?ê?ú?ú?î ?ô?ê?ú?ú?î;140;716;885;10;-4348;0;333;614;;253;833;128043;1640930;4;9
Mohammed Rafi;Meri Dosti Mera Pyar;110;491;563;70;-8588;0;331;957;23;263;843;95558;433045;4;3
Arctic Monkeys;The View From The Afternoon;590;387;922;90;-5192;0;674;487;;187;417;146478;2229470;4;10
Eyal Golan;?ß?®?ï?ë?î ?ê?ú?ô?ô;340;585;381;10;-7622;0;463;435;;126;322;143876;2068750;4;9
Harald Lassen, Bram de Looze;How it feels pt. 2;340;462;374;110;-12069;0;331;949;929;131;174;122939;444025;3;7
Buffalo Springfield;For What It's Worth;760;653;519;20;-10164;1;497;406;209;101;822;98883;1536930;4;10
Elmore James;Madison Blues;370;431;852;20;-6522;1;431;564;208;254;794;67601;1468000;4;2
Dudu Aharon;?ú?ê ?ô?õ?ï?ú ?ë?ú?¢?ì?ô?ô?ö;140;713;939;50;-3609;0;372;11;0,000588;331;88;108034;1793200;4;9
Velvet Two Stripes;Drinks;310;564;801;10;-473;0;473;233;78;67;401;10501;1542930;4;10
Eden Ben Zaken;?û?†?í?ô?†?î;290;57;458;90;-5935;0;236;502;0,000235;134;19;93088;2175290;4;9
DaBaby;Baby Sitter (feat. Offset);700;852;73;10;-5803;1;579;219;;336;394;92506;1576930;4;5
Mura Masa;Teenage Headache Dreams (with Ellie Rowsell);480;347;411;60;-8071;1;414;181;636;975;395;171991;2830130;4;6
Clairmont The Second;intres-ting;440;796;441;70;-983;1;292;16;0,00289;118;371;158105;1378720;4;1
Krankhead;Cut Throat;290;805;448;70;-9452;1;112;602;0,000179;113;775;160018;1380000;4;5
The Stone Roses;Driving South;440;472;947;90;-6128;1;774;0,000943;155;364;75;98784;3098670;4;10
R3HAB;Whiplash - Acoustic;440;556;188;80;-12161;1;316;494;;119;184;138091;1452170;4;9
IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani;Swagatham Krishna - Mohanam - Adi;;548;711;100;-844;1;107;542;0,00959;355;618;119675;4015633333;3;0
MC Hammer;U Can't Touch This;730;867;517;110;-13222;0;875;456;339;864;866;133148;2573600;4;9
duendita;Open Eyes;350;341;47;50;-10144;1;37;226;105;518;203;144109;2042800;4;1
Rainbow;Since You Been Gone;660;733;726;70;-6514;1;371;379;0,000258;471;915;120814;1971600;4;8
fijitrip;Private Social Network;300;696;661;60;-5996;1;877;103;0,00321;114;397;121032;1808220;4;6
Machine Gun Kelly;love race (feat. Kellin Quinn);810;517;848;100;-4054;1;521;581;;214;429;95906;1887790;4;9
ShittyCT;Mahapecha Shel Simcha;40;437;948;50;-4287;0;92;234;;876;517;170023;1802930;4;6
Tetrarch;Negative Noise;490;384;974;10;-3647;0;141;153;247;226;155;194842;2473700;4;8
Dreezy;Where Them $ @;420;858;525;;-7332;1;148;443;738;197;351;170875;1939620;4;5
The Ayoub Sisters;Mother's Pride;160;297;958;;-20316;1;384;844;855;126;296;80672;3503783333;4;7
Brandon Jack & The Artifacts;four days;290;516;948;20;-3994;1;644;279;564;15;957;170087;1303290;4;1
Moon Guitar;Struna;470;32;242;;-1517;1;422;941;93;165;431;8109;2817633333;4;7
Ivri Lider;?†?°?ô?õ?î ?©?ú?ô;470;661;407;40;-9283;1;412;713;;115;337;127873;2166950;4;9
Vieux Farka Tour?©;Bonheur;370;569;751;70;-12826;1;418;365;856;561;758;105156;3382920;4;2
Kvelertak;Crack of Doom (feat. Troy Sanders);440;357;977;10;-6489;0;124;0,00016;892;105;28;15981;2339290;4;8
Better Than Ezra;Good;630;615;657;70;-6873;1;29;372;204;132;792;10995;1850930;4;10
Lior Narkis;?ó?ú?ß?™ ?ê?ú?ï?î?ô?ù - ?î?©?ô?® ?©?ú ?ê?ï?§?ô?®;440;479;444;;-6497;1;316;857;;141;236;107915;1742420;4;9
Silversun Pickups;Lazy Eye;650;633;831;40;-5053;1;461;401;693;117;243;127397;3543600;4;10
Lilly Wood and The Prick;A Song;;618;438;110;-7495;1;762;407;;5;651;155014;2093070;4;6
Orange Juice;Rip It Up;550;881;546;70;-9357;1;407;532;149;497;852;102814;3204130;4;6
U2;The Blackout;490;624;528;90;-9103;0;344;286;516;866;33;120049;2859330;4;10
Omer Adam;?™?í?ô?ì?ô ?ú?ô ?©?ò?ï?ë ?ú?ö;370;607;503;20;-7406;1;703;446;;173;473;135606;2050400;4;9
The Clash;The Magnificent Seven - Remastered;560;799;789;;-8208;1;395;595;;338;831;116083;3335200;4;10
Victor Manu;Raphaela;470;494;634;20;-19203;1;44;984;926;11;15;78227;3014916667;4;7
The Last Shadow Puppets;Bad Habits;490;52;642;90;-7546;1;434;517;17;794;449;88967;1809680;4;10
Anne-Marie;Our Song;480;595;759;110;-4245;0;423;141;;172;515;80953;1637330;4;9
How Lucky;Kurt Vile, John Prine;;523;441;50;-9928;1;311;465;268;365;49;171246;3385116667;4;0
Sly & The Family Stone;I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969;280;566;943;;-10359;1;123;488;346;728;324;117813;4030270;4;10
Veruca Salt;Seether;470;612;86;80;-9175;1;44;253;153;158;687;136212;1964670;4;1
Juice WRLD;Life's A Mess (feat. Halsey);770;63;446;10;-89;1;351;337;;166;177;143078;2021930;4;5
BENEE;C U;530;521;532;90;-11492;0;357;563;435;386;326;9519;1805330;4;9
Berry Sakharof;?†?§?™?ú?ô ?î?ì?í;180;501;474;20;-13893;1;299;608;885;147;281;102404;3522670;4;10
Ganser;Self Service - Adam Faulkner / Girl Band Remix;90;185;865;90;-10522;1;576;632;807;112;789;84031;2074650;3;6
